address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count
"Collingham Road, SW5",SW5,1300,1500,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Collingham Road,  London, SW5",SW5,1300,1500,,Ask agent,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Collingham Place, Earls Court, London, SW5",SW5,1300,1500,Long term,Furnished,Ask agent,Studio,,1.0,191 sq ft,0.3,3
"Collingham Place, South Kensington, SW5",SW5,1343,1550,,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Old Brompton Road, South Kensington, London, SW7",SW7,1408,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,,1.0,Ask agent,0.4,3
"Russell Road, Kensington, W14",W14,1430,1650,Long term,Furnished,Ask agent,Studio,,,Ask agent,0.3,3
"Courtfield Gardens, South Kensington, SW5",SW5,1430,1650,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Courtfield Gardens, South Kensington, SW5",SW5,1473,1700,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Southwell Gardens , South Kensington, SW7",SW7,1473,1700,,Furnished,Ask agent,Studio,,,Ask agent,0.4,3
"Rosary Gardens, South Kensington, SW7",SW7,1500,1730,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.4,3
"Thurloe Street, 
South Kensington, SW7",SW7,3250,3750,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"West Cromwell Road, Earls Court, London, SW5",SW5,1517,1750,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Russell Road, Kensington, W14",W14,1517,1750,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Glendower Place, London, SW7",SW7,1517,1750,Long term,Ask agent,Ask agent,Apartment,,,Ask agent,0.4,3
"Emperors Gate, South Kensington, London, SW7",SW7,1517,1750,Long term,Part furnished,Ask agent,Studio,,1.0,300 sq ft,0.4,3
"Collingham Place, South Kensington, SW5",SW5,1517,1750,,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Princess Beatrice House, Chelsea, London, SW10",SW10,1543,1780,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.3,3
"Glendower Place, London, SW7",SW7,1560,1800,Long term,Ask agent,Ask agent,Apartment,,,Ask agent,0.4,3
"Princess Beatrice House, Chelsea, London, SW10",SW10,1560,0,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.3,3
"Old Brompton Road, Earls Court, London, SW5",SW5,1582,1825,Long term,Furnished,Ask agent,Flat,1.0,1.0,343 sq ft,0.3,3
"Knaresborough Place, London, SW5",SW5,1600,1600,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Collingham Place, London, SW5",SW5,1625,0,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.4,3
"Gloucester Road, South Kensington, London, SW5",SW5,1625,1875,Long term,Furnished,Ask agent,Studio,,1.0,191 sq ft,0.4,3
"Southwell Gardens, South Kensington, SW7",SW7,1625,1875,,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Collingham Place, Earls Court, SW5",SW5,1625,1875,Long term,Furnished,Ask agent,Flat,,1.0,Ask agent,0.4,3
"Earls Court Road, Earls Court, London, SW5",SW5,1625,1875,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"West Cromwell Road, Earls Court, London, SW5",SW5,1625,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Trevor Square, SW7",SW7,11917,16500,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3
"Holland Road, Kensington, W14",W14,1690,1875,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Warwick Road (7/121), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Warwick Road (5/121), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Warwick Road (7/119), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Warwick Road (8/121), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Warwick Road (6/121), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Warwick Road (B2/119), Earls Court, London, SW5",SW5,1699,1961,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Warwick Road (4/119), Earls Court, London, SW5",SW5,1699,1961,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Warwick Road (A1/119), Earls Court, London, SW5",SW5,1699,2307,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Nevern Place, Earls Court, London, SW5",SW5,1712,1975,Long term,Furnished,Ask agent,Studio,,1.0,184 sq ft,0.3,3
"West Cromwell Road, Earls Court, London, SW5",SW5,1712,1975,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Emperor's Gate, South Kensington, London, SW7",SW7,1712,1975,Long term,Furnished,Ask agent,Studio,,1.0,301 sq ft,0.4,3
"Collingham Place, Kensington, SW5",SW5,1712,1975,,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Penywern Road, Earls Court, London, SW5",SW5,1712,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Elsham Road, London, W14",W14,1730,1996,Long term,Furnished,Ask agent,Flat,1.0,1.0,301 sq ft,0.4,3
"Earls Court Road, London, SW5",SW5,1733,0,Long term,Furnished,Ask agent,,1.0,1.0,Ask agent,0.3,3
", Elsham Road, London, W14",W14,1750,2019,Long term,Furnished,Ask agent,Studio,,,301 sq ft,0.4,3
"Collingham Place, South Kensington, SW5",SW5,1798,2075,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Holland Road, Kensington, W14",W14,1798,2075,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Collingham Place, London, SW5",SW5,1798,0,Long term,Furnished,Ask agent,Apartment,,1.0,289 sq ft,0.4,3
"Collingham Place, London, SW5",SW5,1798,0,Long term,Ask agent,Ask agent,Apartment,,1.0,Ask agent,0.4,3
"Knaresborough Place, Earls Court, London, SW5",SW5,1799,2075,Long term,Furnished,Ask agent,Flat,1.0,1.0,173 sq ft,0.3,3
"Cornwall Gardens, South Kensington, London, SW7",SW7,1820,0,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.4,3
"Penywern Road, Earls Court, London, SW5",SW5,1820,2100,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Southwell Gardens, South Kensington, SW7",SW7,1820,2100,,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Penywern Road, Earls Court, London, SW5",SW5,1820,2100,,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Courtfield Gardens, South Kensington, London, SW5",SW5,1842,2125,Long term,Furnished,Ask agent,Studio,,1.0,392 sq ft,0.3,3
"Courtfield Road, South Kensington, London, SW7",SW7,1842,2125,Long term,Furnished,Ask agent,Flat,1.0,1.0,365 sq ft,0.4,3
"Elvaston Place, South Kensington, London, SW7",SW7,1842,2125,Long term,Part furnished,Ask agent,Studio,,1.0,217 sq ft,0.4,3
"Philbeach Gardens, London, SW5",SW5,1850,2134,Long term,Furnished,Ask agent,Studio,,1.0,269 sq ft,0.3,3
"Longridge Road, 
Earls Court, SW5",SW5,1863,2150,,Furnished,Ask agent,Flat,,1.0,226 sq ft,0.4,3
"Penywern Road, Earls Court, London, SW5",SW5,1863,2150,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Southwell Gardens, South Kensington, SW7",SW7,1863,2150,,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Collingham Place, Earls Court, SW5",SW5,1885,2175,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Hogarth Road, Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Flat,1.0,1.0,490 sq ft,0.4,3
"Warwick Road (D4/119), Earls Court, London, SW5",SW5,1950,2596,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Warwick Road (2/119), Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Elvaston Place, 
South Kensington, SW7",SW7,1950,2250,Long term,Furnished,Ask agent,Flat,,1.0,215 sq ft,0.4,3
"Cromwell Road, London, SW5",SW5,1950,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Warwick Road (4/121), Earls Court, London, SW5",SW5,1950,2596,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Cromwell Road, Earls Court, London, SW5",SW5,1950,2250,Long term,Part furnished,Ask agent,Flat,1.0,1.0,531 sq ft,0.4,3
"Warwick Road (1/119), Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Warwick Road (5/119), Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Stanhope Gardens, South Kensington, London, SW7",SW7,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,371 sq ft,0.3,3
"Cromwell Road, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Apartment,,1.0,377 sq ft,0.3,3
"Emperor's Gate, South Kensington, London, SW7",SW7,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,435 sq ft,0.4,3
"Warwick Road (2,121), Earls Court, London, SW5",SW5,1950,2250,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Warwick Road (C3/119), Earls Court, London, SW5",SW5,1950,2596,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Holland Road, London, W14",W14,1993,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Nevern Square, Earl`s Court, SW5",SW5,1993,2300,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,484 sq ft,0.3,3
"Atwood House, Beckford Close, W14",W14,1993,2300,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Cromwell Road, London, SW5",SW5,1993,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Elvaston Place, South Kensington, London, SW7",SW7,1994,2300,Long term,Furnished,Ask agent,Studio,,1.0,377 sq ft,0.4,3
"Boltons Court, 216 Old Brompton Road, London, SW5",SW5,1995,2302,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Earl's Court Square, Earl's Court, SW5",SW5,1998,2307,Long term,Furnished,Ask agent,Flat,,1.0,Ask agent,0.3,3
"Cromwell Road, SW5",SW5,1998,0,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Longridge Road, Chelsea, SW5",SW5,1998,0,Long term,Furnished,Ask agent,Apartment,1.0,,Ask agent,0.3,3
"Old Brompton Road, 
Earls Court, SW5",SW5,2000,2308,Long term,Furnished,Ask agent,Flat,,1.0,422 sq ft,0.3,3
"Napier Road, Hammersmith, London, W14",W14,2000,2308,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,477 sq ft,0.4,3
"Philbeach Gardens, 
Earls Court, SW5",SW5,2000,2769,Long term,Furnished,Ask agent,Flat,1.0,1.0,389 sq ft,0.3,3
"Old Brompton Road, Earls Court, London, SW5",SW5,2002,2310,,Furnished,Ask agent,Apartment,1.0,1.0,417 sq ft,0.3,3
"Earls Court Square, Earls Court, London, SW5",SW5,2059,2375,Long term,Furnished,Ask agent,Flat,1.0,1.0,460 sq ft,0.3,3
"Elvaston Place, South Kensington, London, SW7",SW7,2059,2375,Long term,Furnished,Ask agent,Studio,,1.0,242 sq ft,0.4,3
"Penywern Road, Earls Court, London, SW5",SW5,2059,2375,Long term,Furnished,Ask agent,Studio,,1.0,183 sq ft,0.3,3
"Cromwell Road, South Kensington, London, SW7",SW7,2059,2375,Long term,Furnished,Ask agent,Flat,1.0,1.0,465 sq ft,0.4,3
"Earls Court Square, Earls Court, London, SW5",SW5,2059,2375,Long term,Furnished,Ask agent,Studio,,1.0,380 sq ft,0.3,3
"Old Brompton Road, Earls Court, London, SW5",SW5,2059,2375,Long term,Furnished,Ask agent,Flat,2.0,1.0,530 sq ft,0.3,3
"Cornwall Gardens, South Kensington, London, SW7",SW7,2059,2375,Long term,Furnished,Ask agent,Studio,,1.0,320 sq ft,0.4,3
"Eardley Cres, London, SW5",SW5,2080,2400,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Eardley Crescent, London, SW5",SW5,2080,0,Short term,Furnished,Ask agent,Studio,,,Ask agent,0.3,3
"Eardley Crescent, London, SW5",SW5,2081,2401,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Elsham Road, W14",W14,2097,2423,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Warwick Road, London, W14",W14,2100,0,Long term,Furnished,Ask agent,Flat,2.0,1.0,517 sq ft,0.4,3
"Courtfield Road, South Kensington, SW7",SW7,2102,1588,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Penywern Road, Earls Court, London, SW5",SW5,2123,2450,,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Barkston Gardens, SW5",SW5,2145,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Barkston Gardens, Earls Court, London, SW5",SW5,2145,2475,Long term,Furnished,Ask agent,Apartment,1.0,1.0,484 sq ft,0.3,3
"Emperors Gate, London, SW7",SW7,2145,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Old Brompton Road, London, SW5",SW5,2150,2481,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Philbeach Gardens, Earls Court, London, SW5",SW5,2167,2500,Long term,Furnished,Ask agent,Flat,1.0,1.0,495 sq ft,0.3,3
"Gloucester Road, South Kensington, London, SW7",SW7,2167,2500,Long term,Furnished,Ask agent,Studio,,1.0,397 sq ft,0.4,3
"Warwick Road (3/119), Earls Court, London, SW5",SW5,2197,2538,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Warwick Road (1/121), Earls Court, London, SW5",SW5,2197,2538,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Old Brompton Road, 
Earls Court, SW5",SW5,3965,4575,Long term,Part furnished,Ask agent,Flat,2.0,2.0,848 sq ft,0.4,3
"Elsham Road, London, W14",W14,2200,0,Long term,Furnished,Ask agent,Studio,,,334 sq ft,0.4,3
"Lower Addison Gardens, London, W14",W14,2250,0,Short term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Rushmore House, Russell Road, Kensington, W14",W14,2250,0,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,526 sq ft,0.4,3
"Elsham Road, London, W14",W14,2250,2596,Long term,Furnished,Ask agent,Flat,1.0,1.0,560 sq ft,0.4,3
"Russell Gardens, London, W14",W14,2253,0,Long term,Furnished,Ask agent,Flat,3.0,,Ask agent,0.4,3
"Kensington High Street, London, W14",W14,2253,2600,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"West Cromwell Road, Earls Court, London, SW5",SW5,2275,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Elsham Road, Olympia, London, W14",W14,2275,2625,Long term,Furnished,Ask agent,Flat,2.0,1.0,505 sq ft,0.4,3
"Old Brompton Road, Earls Court, London, SW5",SW5,2275,2625,Long term,Furnished,Ask agent,Flat,1.0,1.0,418 sq ft,0.3,3
"Cromwell Road, Earls Court, London, SW5",SW5,2275,2625,Long term,Furnished,Ask agent,Flat,1.0,1.0,422 sq ft,0.4,3
"Bladon Lodge, London, SW5",SW5,2275,2625,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Barkston Gardens, London, SW5",SW5,2275,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Queen's Gate Terrace, South Kensington, London, SW7",SW7,2275,2625,Long term,Furnished,Ask agent,Flat,1.0,1.0,360 sq ft,0.4,3
"Cromwell Road, London, SW7",SW7,2297,2650,Long term,Furnished,Ask agent,Studio,,1.0,370 sq ft,0.3,3
"Point West, South Kensington, London, SW7",SW7,2297,2650,Long term,Furnished,Ask agent,Studio,,1.0,383 sq ft,0.3,3
"HOLLAND ROAD, London, W14",W14,2297,2400,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Holland Road, W14",W14,2297,2296,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Holland Road, Holland Park, London, W14",W14,2319,2675,Long term,Part furnished,Ask agent,Flat,2.0,1.0,793 sq ft,0.4,3
"Nevern Place, Earls Court, London, SW5",SW5,2340,2700,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Harrington Gardens, SW7",SW7,2349,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,341 sq ft,0.4,3
"Harrington Gardens, South Kensington, London, SW7",SW7,2383,2750,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"St Stephens Walk, South Kensington, London, SW7",SW7,2383,2750,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Holland Road, 
High Street Kensington, W14",W14,2383,2750,Long term,Furnished,Ask agent,Flat,1.0,1.0,463 sq ft,0.4,3
"Holland Road, W14",W14,2383,2750,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Old Brompton Road, Earls Court, London, SW5",SW5,2384,2750,Long term,Furnished,Ask agent,Flat,1.0,1.0,401 sq ft,0.3,3
"Elvaston Place, South Kensington, London, SW7",SW7,2384,700,Short term,Ask agent,Ask agent,Studio,,1.0,217 sq ft,0.4,3
"Collingham Road, South Kensington, London, SW5",SW5,2384,2750,Long term,Furnished,Ask agent,Flat,1.0,1.0,606 sq ft,0.4,3
"Holland Road, London, W14",W14,2390,2758,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Eardley Crescent, London, SW5",SW5,2470,2850,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"West Cromwell Road, Kensington, London, SW5",SW5,2470,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Eardley Crescent, London, SW5",SW5,2470,0,Short term,Furnished,Ask agent,Flat,1.0,1.0,301 sq ft,0.3,3
"Ashburn Gardens, South Kensington, London, SW7",SW7,2492,2878,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Courtfield Road,London,SW7",SW7,2492,0,Long term,Furnished,Ask agent,Flat,1.0,,534 sq ft,0.3,3
"Collingham Gardens, 
South Kensington, SW5",SW5,2492,2875,Long term,Furnished,Ask agent,Flat,1.0,1.0,480 sq ft,0.3,3
"Kendrick Mews, South Kensington, London, SW7",SW7,2492,2875,Long term,Furnished,Ask agent,Flat,1.0,1.0,503 sq ft,0.4,3
"Queens Gate Terrace, South Kensington, London, SW7",SW7,2492,2875,Long term,Furnished,Ask agent,Flat,1.0,1.0,663 sq ft,0.4,3
"Kenway Road, Earls Court, London, SW5",SW5,2492,2875,Long term,Furnished,Ask agent,Flat,1.0,1.0,480 sq ft,0.3,3
"Longridge Road, London, SW5",SW5,2496,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Longridge Road, Earls Court, London, SW5",SW5,2500,2885,Long term,Part furnished,Ask agent,Flat,1.0,1.0,924 sq ft,0.3,3
"Coleherne Road, London, UK, London, SW10",SW10,2500,2878,Long term,Furnished,Ask agent,Studio,,1.0,312 sq ft,0.3,3
"Coleherne Road, London, SW10",SW10,2500,2884,Long term,Furnished,Ask agent,Studio,,1.0,291 sq ft,0.3,3
"Kensington & Chelsea Borough, London, SW5",SW5,2500,2885,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Elsham Road, London, W14",W14,2500,2884,Long term,Ask agent,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Elsham Road, London, W14",W14,2500,2884,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3
"Emperors Gate, London, SW7",SW7,2578,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3
"Courtfield Gardens, London, SW5",SW5,2578,2975,Long term,Furnished,Ask agent,Studio,,1.0,189 sq ft,0.3,3
"Cornwall Gardens, SW7",SW7,2578,2975,Long term,Furnished,Ask agent,Apartment,1.0,1.0,635 sq ft,0.4,3
"Collingham Gardens, South Kensington, London, SW5",SW5,2579,2975,Long term,Part furnished,Ask agent,Flat,1.0,1.0,619 sq ft,0.4,3
"Courtfield Gardens, South Kensington, London, SW5",SW5,2600,3000,Long term,Furnished,Ask agent,Flat,1.0,1.0,455 sq ft,0.3,3
"Elsham Road, London, W14",W14,2600,3000,Long term,Unfurnished,Ask agent,Apartment,2.0,1.0,649 sq ft,0.4,3
"Coleherne Road, SW10",SW10,2600,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Queens Gate, South Kensington, London, SW7",SW7,2600,3000,Long term,Furnished,Ask agent,Flat,2.0,2.0,571 sq ft,0.4,3
"South Kensington, South Kensington, SW7",SW7,2600,2600,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3
"Elsham Road, London, W14",W14,2600,0,Long term,Ask agent,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3
"Kempsford Gardens, London, SW5",SW5,2600,2600,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Gloucester Road, South Kensington, London, SW7",SW7,2600,3000,Long term,Furnished,Ask agent,Flat,1.0,1.0,506 sq ft,0.4,3
"Kensington, Earls Court, London, SW5",SW5,2600,700,Short term,Ask agent,Ask agent,Studio,,1.0,322 sq ft,0.4,3
"Gloucester Road, London, SW7",SW7,2600,0,Long term,Furnished,Ask agent,Flat,1.0,,Ask agent,0.4,3
"Coleherne Road, London, SW10",SW10,2650,3059,Long term,Furnished,Ask agent,Studio,,1.0,603 sq ft,0.3,3
"Cromwell Road, South Kensington, SW7",SW7,2650,3057,Long term,Part furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3
"Old Brompton Road, South Kensington, London, SW7",SW7,2665,3075,Long term,Furnished,Ask agent,Flat,1.0,1.0,474 sq ft,0.4,3
"Warwick Road (9/121), Earls Court, London, SW5",SW5,2700,3115,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3
"Elsham Road, London, W14",W14,2700,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3
"Warwick Road (9/119), Earls Court, London, SW5",SW5,2700,3115,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3
"Cranley Place, South Kensington, London, SW7",SW7,2708,3125,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Kempsford Gardens, SW5",SW5,2708,3125,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Cranley Place, South Kensington, London, SW7",SW7,2708,3125,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Elsham Road, Kensington, London, W14",W14,2709,3125,Long term,Furnished,Ask agent,Flat,2.0,2.0,723 sq ft,0.4,3
"Cromwell Road, South Kensington, London, SW7",SW7,2709,3125,Long term,Furnished,Ask agent,Flat,1.0,1.0,620 sq ft,0.3,3
"Bramham Gardens, London, SW5",SW5,2747,0,Long term,Ask agent,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Ibberton House, 70 Russell Road, London, W14",W14,2750,3173,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Oakwood Court, London, W14",W14,2750,3173,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,690 sq ft,0.4,3
"Radnor Terrace, Kensington, W14",W14,2795,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Beckford Close, Warwick Road, London, W14",W14,2795,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,982 sq ft,0.4,3
"Kensington, London, W14",W14,2800,3231,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Finborough Road, London, SW10",SW10,2817,0,Long term,Ask agent,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3
"Queens Gate, SW7",SW7,2817,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.5,3
"Coleherne Road, Chelsea, SW10",SW10,2817,3250,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,710 sq ft,0.3,3
"Longridge Road, Earls Court, London, SW5",SW5,2817,3250,Long term,Furnished,Ask agent,House,2.0,1.0,617 sq ft,0.3,3
"Point west, SW7",SW7,2817,3000,Long term,Part furnished,Ask agent,,2.0,1.0,Ask agent,0.3,3
"Beckford Close, Kensington, London, W14",W14,2817,3250,Long term,Furnished,Ask agent,Flat,2.0,2.0,854 sq ft,0.4,3
"Eardley Crescent, Earls Court, London, SW5",SW5,2817,0,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Warwick Road, Kensington, London, W14",W14,2817,3250,Long term,Unfurnished,Ask agent,Maisonette,2.0,1.0,680 sq ft,0.4,3
"Queens Gate, South Kensington, London, SW7",SW7,2817,3250,Long term,Furnished,Ask agent,Flat,1.0,1.0,412 sq ft,0.3,3
"Point West, SW7",SW7,2817,3250,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Longridge Road, Earls Court, London, SW5",SW5,2817,3250,Long term,Furnished,Ask agent,Flat,2.0,2.0,627 sq ft,0.3,3
"Holland Road, Holland Park, London, W14",W14,2817,3250,Long term,Furnished,Ask agent,Flat,2.0,2.0,"1,181 sq ft",0.4,3
"Collingham Place, South Kensington, London, SW5",SW5,2817,3250,Long term,Furnished,Ask agent,Flat,1.0,1.0,568 sq ft,0.3,3
"Hamilton Court, London, SW5",SW5,2850,3000,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3
"West Cromwell Road, London, SW5",SW5,2860,2860,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Old Brompton Road, South Kensington, London, SW5",SW5,2860,3300,Long term,Furnished,Ask agent,Flat,2.0,1.0,520 sq ft,0.4,3
"Hogarth Road, London, SW5",SW5,2875,3317,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3
"Princes Gate, South Kensington, London, SW7",SW7,2882,3325,Long term,Furnished,Ask agent,Flat,1.0,1.0,744 sq ft,0.5,3
"Oakwood Court, Abbotsbury Road, Kensington, W14",W14,2925,0,Long term,Unfurnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3
"Queen's Gate, SW7",SW7,2925,3375,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
